,Date,YoYChange
12,1991-01,-23.899999999999977
13,1991-02,-24.800000000000068
14,1991-03,-29.399999999999977
15,1991-04,-28.399999999999977
16,1991-05,-29.600000000000023
17,1991-06,-29.899999999999977
18,1991-07,-31.59999999999991
19,1991-08,-30.899999999999977
20,1991-09,-28.200000000000045
21,1991-10,-20.799999999999955
22,1991-11,-17.299999999999955
23,1991-12,-15.799999999999955
24,1992-01,-8.0
25,1992-02,-4.399999999999977
26,1992-03,0.10000000000002274
27,1992-04,5.5
28,1992-05,8.100000000000023
29,1992-06,6.199999999999932
30,1992-07,15.099999999999909
31,1992-08,13.399999999999977
32,1992-09,14.200000000000045
33,1992-10,21.09999999999991
34,1992-11,21.199999999999932
35,1992-12,21.600000000000023
36,1993-01,21.600000000000023
37,1993-02,27.600000000000023
38,1993-03,22.799999999999955
39,1993-04,26.5
40,1993-05,26.600000000000023
41,1993-06,28.0
42,1993-07,26.0
43,1993-08,29.600000000000023
44,1993-09,30.5
45,1993-10,29.0
46,1993-11,32.10000000000002
47,1993-12,35.69999999999993
48,1994-01,29.199999999999932
49,1994-02,22.699999999999932
50,1994-03,30.90000000000009
51,1994-04,31.09999999999991
52,1994-05,28.299999999999955
53,1994-06,32.60000000000002
54,1994-07,31.600000000000023
55,1994-08,31.899999999999977
56,1994-09,33.799999999999955
57,1994-10,31.40000000000009
58,1994-11,31.299999999999955
59,1994-12,32.60000000000002
60,1995-01,38.30000000000007
61,1995-02,38.80000000000007
62,1995-03,37.5
63,1995-04,30.90000000000009
64,1995-05,29.799999999999955
65,1995-06,27.899999999999977
66,1995-07,23.600000000000023
67,1995-08,23.90000000000009
68,1995-09,22.5
69,1995-10,23.0
70,1995-11,23.5
71,1995-12,23.700000000000045
72,1996-01,13.899999999999977
73,1996-02,20.899999999999977
74,1996-03,22.699999999999932
75,1996-04,30.0
76,1996-05,33.40000000000009
77,1996-06,34.80000000000007
78,1996-07,41.5
79,1996-08,42.39999999999998
80,1996-09,39.80000000000007
81,1996-10,42.09999999999991
82,1996-11,43.5
83,1996-12,42.0
84,1997-01,51.0
85,1997-02,46.39999999999998
86,1997-03,40.0
87,1997-04,37.19999999999993
88,1997-05,36.0
89,1997-06,32.799999999999955
90,1997-07,34.299999999999955
91,1997-08,33.89999999999998
92,1997-09,32.39999999999998
93,1997-10,32.700000000000045
94,1997-11,30.5
95,1997-12,35.0
96,1998-01,31.899999999999977
97,1998-02,33.200000000000045
98,1998-03,40.0
99,1998-04,38.10000000000002
100,1998-05,41.299999999999955
101,1998-06,42.799999999999955
102,1998-07,42.5
103,1998-08,43.5
104,1998-09,46.0
105,1998-10,40.5
106,1998-11,44.5
107,1998-12,43.200000000000045
108,1999-01,46.59999999999991
109,1999-02,48.39999999999998
110,1999-03,46.000000000000114
111,1999-04,56.90000000000009
112,1999-05,51.59999999999991
113,1999-06,56.700000000000045
114,1999-07,55.0
115,1999-08,56.90000000000009
116,1999-09,56.40000000000009
117,1999-10,70.79999999999995
118,1999-11,68.40000000000009
119,1999-12,67.0
120,2000-01,68.40000000000009
121,2000-02,67.09999999999991
122,2000-03,74.19999999999982
123,2000-04,70.19999999999982
124,2000-05,71.10000000000014
125,2000-06,74.0
126,2000-07,71.40000000000009
127,2000-08,68.39999999999986
128,2000-09,69.39999999999986
129,2000-10,64.20000000000005
130,2000-11,65.70000000000005
131,2000-12,65.09999999999991
132,2001-01,47.40000000000009
133,2001-02,47.200000000000045
134,2001-03,40.5
135,2001-04,27.40000000000009
136,2001-05,27.200000000000045
137,2001-06,21.09999999999991
138,2001-07,15.799999999999955
139,2001-08,11.700000000000045
140,2001-09,4.100000000000136
141,2001-10,-5.2000000000000455
142,2001-11,-12.700000000000045
143,2001-12,-17.40000000000009
144,2002-01,-12.700000000000045
145,2002-02,-13.799999999999955
