,Date,MoMChange
1,1999-02,418.0
2,1999-03,107.0
3,1999-04,370.0
4,1999-05,211.0
5,1999-06,281.0
6,1999-07,325.0
7,1999-08,155.0
8,1999-09,203.0
9,1999-10,405.0
10,1999-11,289.0
11,1999-12,306.0
12,2000-01,233.0
13,2000-02,119.0
14,2000-03,472.0
15,2000-04,292.0
16,2000-05,217.0
17,2000-06,-44.0
18,2000-07,175.0
19,2000-08,-6.0
20,2000-09,123.0
21,2000-10,-2.0
22,2000-11,205.0
23,2000-12,153.0
24,2001-01,-11.0
25,2001-02,91.0
26,2001-03,-42.0
27,2001-04,-284.0
28,2001-05,-53.0
29,2001-06,-111.0
30,2001-07,-122.0
31,2001-08,-149.0
32,2001-09,-257.0
33,2001-10,-317.0
34,2001-11,-312.0
35,2001-12,-160.0
36,2002-01,-130.0
37,2002-02,-116.0
38,2002-03,-19.0
39,2002-04,-94.0
40,2002-05,11.0
41,2002-06,50.0
42,2002-07,-94.0
43,2002-08,-3.0
44,2002-09,-86.0
45,2002-10,127.0
46,2002-11,-13.0
47,2002-12,-143.0
48,2003-01,108.0
49,2003-02,-136.0
50,2003-03,-212.0
51,2003-04,-55.0
52,2003-05,19.0
53,2003-06,-2.0
54,2003-07,-3.0
55,2003-08,-42.0
56,2003-09,105.0
57,2003-10,200.0
58,2003-11,20.0
59,2003-12,114.0
60,2004-01,181.0
61,2004-02,56.0
62,2004-03,317.0
63,2004-04,269.0
64,2004-05,283.0
65,2004-06,99.0
66,2004-07,55.0
67,2004-08,89.0
68,2004-09,156.0
69,2004-10,354.0
70,2004-11,56.0
71,2004-12,121.0
72,2005-01,150.0
73,2005-02,258.0
74,2005-03,124.0
75,2005-04,362.0
76,2005-05,172.0
77,2005-06,252.0
78,2005-07,354.0
79,2005-08,202.0
80,2005-09,68.0
81,2005-10,89.0
82,2005-11,338.0
83,2005-12,156.0
84,2006-01,280.0
85,2006-02,308.0
86,2006-03,310.0
87,2006-04,158.0
88,2006-05,39.0
89,2006-06,81.0
90,2006-07,195.0
91,2006-08,174.0
92,2006-09,149.0
93,2006-10,9.0
94,2006-11,211.0
95,2006-12,186.0
96,2007-01,228.0
97,2007-02,81.0
98,2007-03,235.0
99,2007-04,49.0
100,2007-05,151.0
101,2007-06,76.0
102,2007-07,-31.0
103,2007-08,-23.0
104,2007-09,80.0
105,2007-10,79.0
106,2007-11,110.0
107,2007-12,108.0
108,2008-01,11.0
109,2008-02,-79.0
110,2008-03,-49.0
111,2008-04,-240.0
112,2008-05,-177.0
113,2008-06,-171.0
114,2008-07,-196.0
115,2008-08,-278.0
116,2008-09,-460.0
117,2008-10,-481.0
118,2008-11,-727.0
119,2008-12,-706.0
120,2009-01,-784.0
121,2009-02,-743.0
122,2009-03,-800.0
123,2009-04,-695.0
124,2009-05,-342.0
125,2009-06,-467.0
126,2009-07,-340.0
127,2009-08,-183.0
128,2009-09,-241.0
129,2009-10,-199.0
130,2009-11,12.0
131,2009-12,-269.0
132,2010-01,2.0
133,2010-02,-92.0
134,2010-03,181.0
135,2010-04,231.0
136,2010-05,540.0
137,2010-06,-139.0
138,2010-07,-84.0
139,2010-08,-5.0
140,2010-09,-65.0
141,2010-10,268.0
142,2010-11,125.0
143,2010-12,72.0
144,2011-01,19.0
145,2011-02,212.0
146,2011-03,235.0
147,2011-04,314.0
148,2011-05,101.0
149,2011-06,236.0
150,2011-07,60.0
151,2011-08,126.0
152,2011-09,233.0
153,2011-10,204.0
154,2011-11,132.0
155,2011-12,202.0
156,2012-01,354.0
157,2012-02,262.0
158,2012-03,240.0
159,2012-04,82.0
160,2012-05,100.0
161,2012-06,73.0
162,2012-07,152.0
163,2012-08,172.0
164,2012-09,187.0
165,2012-10,159.0
166,2012-11,156.0
167,2012-12,239.0
168,2013-01,191.0
169,2013-02,278.0
170,2013-03,139.0
171,2013-04,191.0
172,2013-05,222.0
173,2013-06,181.0
174,2013-07,112.0
175,2013-08,242.0
176,2013-09,187.0
177,2013-10,225.0
178,2013-11,264.0
179,2013-12,69.0
180,2014-01,175.0
181,2014-02,166.0
182,2014-03,254.0
183,2014-04,325.0
184,2014-05,218.0
185,2014-06,326.0
186,2014-07,232.0
187,2014-08,188.0
188,2014-09,309.0
189,2014-10,252.0
190,2014-11,291.0
191,2014-12,268.0
192,2015-01,191.0
193,2015-02,271.0
194,2015-03,71.0
195,2015-04,284.0
196,2015-05,331.0
197,2015-06,174.0
198,2015-07,302.0
199,2015-08,125.0
200,2015-09,155.0
201,2015-10,306.0
202,2015-11,237.0
203,2015-12,273.0
204,2016-01,73.0
205,2016-02,263.0
206,2016-03,229.0
207,2016-04,187.0
208,2016-05,42.0
209,2016-06,267.0
210,2016-07,354.0
211,2016-08,135.0
212,2016-09,269.0
213,2016-10,145.0
214,2016-11,151.0
215,2016-12,230.0
216,2017-01,185.0
217,2017-02,188.0
218,2017-03,129.0
219,2017-04,197.0
220,2017-05,155.0
221,2017-06,216.0
222,2017-07,215.0
223,2017-08,184.0
224,2017-09,18.0
225,2017-10,267.0
226,2017-11,225.0
227,2017-12,130.0
228,2018-01,121.0
229,2018-02,406.0
230,2018-03,176.0
231,2018-04,137.0
232,2018-05,278.0
233,2018-06,219.0
234,2018-07,136.0
235,2018-08,244.0
236,2018-09,80.0
237,2018-10,201.0
238,2018-11,134.0
239,2018-12,182.0
240,2019-01,269.0
241,2019-02,1.0
242,2019-03,147.0
243,2019-04,210.0
244,2019-05,85.0
245,2019-06,182.0
246,2019-07,194.0
247,2019-08,207.0
248,2019-09,208.0
249,2019-10,185.0
250,2019-11,261.0
251,2019-12,184.0
252,2020-01,214.0
253,2020-02,251.0
254,2020-03,-1373.0
255,2020-04,-20787.0
256,2020-05,2699.0
257,2020-06,4800.0
