,Date,MoMChange
1,2012-02,262.0
2,2012-03,240.0
3,2012-04,82.0
4,2012-05,100.0
5,2012-06,73.0
6,2012-07,152.0
7,2012-08,172.0
8,2012-09,187.0
9,2012-10,159.0
10,2012-11,156.0
11,2012-12,239.0
12,2013-01,191.0
13,2013-02,278.0
14,2013-03,139.0
15,2013-04,191.0
16,2013-05,222.0
17,2013-06,181.0
18,2013-07,112.0
19,2013-08,242.0
20,2013-09,187.0
21,2013-10,225.0
22,2013-11,264.0
23,2013-12,69.0
24,2014-01,175.0
25,2014-02,166.0
26,2014-03,254.0
27,2014-04,325.0
28,2014-05,218.0
29,2014-06,326.0
30,2014-07,232.0
31,2014-08,188.0
32,2014-09,309.0
33,2014-10,252.0
34,2014-11,291.0
35,2014-12,268.0
36,2015-01,191.0
37,2015-02,271.0
38,2015-03,71.0
39,2015-04,284.0
40,2015-05,331.0
41,2015-06,174.0
42,2015-07,302.0
43,2015-08,125.0
44,2015-09,155.0
45,2015-10,306.0
46,2015-11,237.0
47,2015-12,273.0
48,2016-01,73.0
49,2016-02,263.0
50,2016-03,229.0
51,2016-04,187.0
52,2016-05,42.0
53,2016-06,267.0
54,2016-07,354.0
55,2016-08,135.0
56,2016-09,269.0
57,2016-10,145.0
58,2016-11,151.0
59,2016-12,230.0
60,2017-01,185.0
61,2017-02,188.0
62,2017-03,129.0
63,2017-04,197.0
64,2017-05,155.0
65,2017-06,216.0
66,2017-07,215.0
67,2017-08,184.0
68,2017-09,18.0
69,2017-10,267.0
70,2017-11,225.0
71,2017-12,130.0
72,2018-01,121.0
73,2018-02,406.0
74,2018-03,176.0
75,2018-04,137.0
76,2018-05,278.0
77,2018-06,219.0
78,2018-07,136.0
79,2018-08,244.0
80,2018-09,80.0
81,2018-10,201.0
82,2018-11,134.0
83,2018-12,182.0
84,2019-01,269.0
85,2019-02,1.0
86,2019-03,147.0
87,2019-04,210.0
88,2019-05,85.0
89,2019-06,182.0
90,2019-07,194.0
91,2019-08,207.0
92,2019-09,208.0
93,2019-10,185.0
94,2019-11,261.0
95,2019-12,184.0
96,2020-01,214.0
97,2020-02,251.0
98,2020-03,-1373.0
99,2020-04,-20687.0
100,2020-05,2509.0
