,Date,YoYChange
12,2000-01,3303.0
13,2000-02,3004.0
14,2000-03,3369.0
15,2000-04,3291.0
16,2000-05,3297.0
17,2000-06,2972.0
18,2000-07,2822.0
19,2000-08,2661.0
20,2000-09,2581.0
21,2000-10,2174.0
22,2000-11,2090.0
23,2000-12,1937.0
24,2001-01,1693.0
25,2001-02,1665.0
26,2001-03,1151.0
27,2001-04,575.0
28,2001-05,305.0
29,2001-06,238.0
30,2001-07,-59.0
31,2001-08,-202.0
32,2001-09,-582.0
33,2001-10,-897.0
34,2001-11,-1414.0
35,2001-12,-1727.0
36,2002-01,-1846.0
37,2002-02,-2053.0
38,2002-03,-2030.0
39,2002-04,-1840.0
40,2002-05,-1776.0
41,2002-06,-1615.0
42,2002-07,-1587.0
43,2002-08,-1441.0
44,2002-09,-1270.0
45,2002-10,-826.0
46,2002-11,-527.0
47,2002-12,-510.0
48,2003-01,-272.0
49,2003-02,-292.0
50,2003-03,-485.0
51,2003-04,-446.0
52,2003-05,-438.0
53,2003-06,-490.0
54,2003-07,-399.0
55,2003-08,-438.0
56,2003-09,-247.0
57,2003-10,-174.0
58,2003-11,-141.0
59,2003-12,116.0
60,2004-01,189.0
61,2004-02,381.0
62,2004-03,910.0
63,2004-04,1234.0
64,2004-05,1498.0
65,2004-06,1599.0
66,2004-07,1657.0
67,2004-08,1788.0
68,2004-09,1839.0
69,2004-10,1993.0
70,2004-11,2029.0
71,2004-12,2036.0
72,2005-01,2005.0
73,2005-02,2207.0
74,2005-03,2014.0
75,2005-04,2107.0
76,2005-05,1996.0
77,2005-06,2149.0
78,2005-07,2448.0
79,2005-08,2561.0
80,2005-09,2473.0
81,2005-10,2208.0
82,2005-11,2490.0
83,2005-12,2525.0
84,2006-01,2655.0
85,2006-02,2705.0
86,2006-03,2891.0
87,2006-04,2687.0
88,2006-05,2554.0
89,2006-06,2383.0
90,2006-07,2224.0
91,2006-08,2196.0
92,2006-09,2277.0
93,2006-10,2197.0
94,2006-11,2070.0
95,2006-12,2100.0
96,2007-01,2048.0
97,2007-02,1821.0
98,2007-03,1746.0
99,2007-04,1637.0
100,2007-05,1749.0
101,2007-06,1744.0
102,2007-07,1518.0
103,2007-08,1321.0
104,2007-09,1252.0
105,2007-10,1322.0
106,2007-11,1221.0
107,2007-12,1143.0
108,2008-01,926.0
109,2008-02,766.0
110,2008-03,482.0
111,2008-04,193.0
112,2008-05,-135.0
113,2008-06,-382.0
114,2008-07,-547.0
115,2008-08,-802.0
116,2008-09,-1342.0
117,2008-10,-1902.0
118,2008-11,-2739.0
119,2008-12,-3553.0
120,2009-01,-4348.0
121,2009-02,-5012.0
122,2009-03,-5763.0
123,2009-04,-6218.0
124,2009-05,-6383.0
125,2009-06,-6679.0
